iter	RMSE
0	3.988532535
1	3.853964593
2	3.724739071
3	3.601326768
4	3.481809861
5	3.366145763
6	3.25081803
7	3.144857078
8	3.044997909
9	2.946653781
10	2.852232374
11	2.761966086
12	2.673048386
13	2.592001363
14	2.511964919
15	2.438149626
16	2.363550783
17	2.29280975
18	2.223715118
19	2.158803606
20	2.097966457
21	2.036422783
22	1.980310085
23	1.924671844
24	1.869659555
25	1.819746281
26	1.770946817
27	1.725323166
28	1.681440067
29	1.638716217
30	1.59829783
31	1.56019981
32	1.525861988
33	1.492041879
34	1.458581061
35	1.42757129
36	1.396743096
37	1.368883117
38	1.341064675
39	1.315036784
40	1.289659552
41	1.266242312
42	1.242682406
43	1.221110876
44	1.200200283
45	1.181094855
46	1.16242975
47	1.14434293
48	1.126566138
49	1.10936925
50	1.093257713
51	1.078119557
52	1.064749342
53	1.05136848
54	1.038184483
55	1.026020904
56	1.013470478
57	1.003194052
58	0.9922478585
59	0.9827714198
60	0.9732707946
61	0.9641852618
62	0.9552016997
63	0.946810484
64	0.9391894623
65	0.9313668745
66	0.9240018814
67	0.916712846
68	0.9100824975
69	0.9035150316
70	0.8963599282
71	0.8905141736
72	0.8854270642
73	0.8799255484
74	0.8748941912
75	0.8702178698
76	0.864658551
77	0.8601979077
78	0.8557825783
79	0.8517344482
80	0.84836487
81	0.8443324214
82	0.8396309497
83	0.8365722786
84	0.8331125328
85	0.8290410117
86	0.8262614375
87	0.8222602258
88	0.8192874671
89	0.8161368819
90	0.8125566186
91	0.8085598478
92	0.8061419206
93	0.8041177329
94	0.8016318811
95	0.7994816818
96	0.7965404365
97	0.7948335117
98	0.7922069494
99	0.7905185685
100	0.7878399591
101	0.7849210203
102	0.7825960802
103	0.7800895525
104	0.7783132753
105	0.7755255392
106	0.7737787195
107	0.7721994658
108	0.7704849995
109	0.767378209
110	0.7656784969
111	0.7638294858
112	0.7616118533
113	0.7589860631
114	0.7573383275
115	0.7555331312
116	0.7543058626
117	0.751887906
118	0.7502044323
119	0.749035582
120	0.7476333348
121	0.7460435387
122	0.7446810559
123	0.7423964542
124	0.7413036311
125	0.7397809164
126	0.7385094381
127	0.7367968657
128	0.7354062046
129	0.7342324138
130	0.7332736832
131	0.731768014
132	0.7294623824
133	0.7285782444
134	0.7274380807
135	0.7266507404
136	0.7253213539
137	0.7230945539
138	0.7220798329
139	0.7212009877
140	0.7202018064
141	0.7187016819
142	0.717707032
143	0.7165536133
144	0.7150664396
145	0.7138034964
146	0.7126575884
147	0.7112097433
148	0.7102545397
149	0.7093370982
150	0.708078253
151	0.7075298254
152	0.706256214
153	0.7054816187
154	0.7043554881
155	0.7025602682
156	0.7018816311
157	0.7012891858
158	0.7002328297
159	0.6988384615
160	0.6978312143
