iter	Passed	Remaining
0	10	31968
1	29	43877
2	33	33463
3	37	28159
4	53	32214
5	58	29086
6	69	29743
7	89	33589
8	110	36739
9	129	38594
10	141	38326
11	145	36319
12	151	34781
13	155	33205
14	162	32327
15	166	31087
16	171	30027
17	175	29009
18	178	28027
19	182	27120
20	185	26321
21	189	25621
22	191	24841
23	195	24291
24	199	23695
25	203	23261
26	207	22794
27	210	22370
28	214	21948
29	217	21516
30	220	21144
31	223	20775
32	226	20407
33	230	20088
34	233	19761
35	236	19454
36	239	19198
37	243	18952
38	246	18683
39	248	18425
40	252	18231
41	256	18036
42	259	17833
43	262	17618
44	265	17420
45	268	17232
46	271	17056
47	274	16879
48	277	16741
49	282	16647
50	285	16501
51	289	16398
52	292	16255
53	295	16115
54	298	15973
55	301	15867
56	304	15730
57	307	15608
58	310	15474
59	313	15359
60	316	15246
61	319	15141
62	322	15031
63	325	14925
64	328	14845
65	331	14750
66	335	14675
67	338	14588
68	340	14474
69	343	14379
70	346	14301
71	350	14253
72	353	14193
73	357	14117
74	360	14056
75	363	14000
76	367	13938
77	370	13862
78	373	13793
79	375	13712
80	379	13669
81	382	13603
82	385	13543
83	388	13496
84	391	13435
85	394	13369
86	397	13314
87	400	13247
88	403	13197
89	406	13130
90	409	13084
91	412	13041
92	415	12989
93	418	12942
94	421	12886
95	424	12831
96	427	12780
97	430	12735
98	432	12683
99	435	12635
100	438	12593
101	441	12547
102	444	12504
103	447	12457
104	450	12411
105	453	12385
106	456	12342
107	459	12301
108	462	12267
109	464	12202
110	467	12165
111	470	12124
112	473	12086
113	476	12051
114	478	12012
115	481	11975
116	484	11943
117	487	11918
118	491	11888
119	494	11859
120	497	11833
121	500	11803
122	503	11771
123	506	11736
124	509	11708
125	511	11676
126	515	11651
127	518	11633
128	521	11601
129	524	11576
130	527	11562
131	530	11535
132	534	11514
133	537	11494
134	540	11466
135	543	11446
136	546	11419
137	549	11392
138	552	11369
139	555	11357
140	558	11333
141	561	11302
142	564	11277
143	567	11251
144	570	11232
145	573	11210
146	576	11187
147	579	11163
148	581	11135
149	584	11109
150	588	11098
151	591	11074
152	594	11061
153	597	11042
154	600	11030
155	604	11012
156	607	11000
157	609	10967
158	612	10951
159	615	10924
160	618	10903
161	621	10886
162	624	10871
163	627	10851
164	630	10829
165	633	10807
166	636	10791
167	640	10790
168	642	10769
169	646	10756
170	649	10738
171	651	10717
172	655	10709
173	658	10701
174	661	10683
175	664	10668
176	667	10650
177	670	10636
178	674	10630
179	677	10621
180	682	10630
181	685	10619
182	689	10610
183	692	10595
184	695	10588
185	699	10582
186	702	10571
187	706	10562
188	708	10543
189	712	10530
190	715	10517
191	718	10503
192	721	10494
193	724	10485
194	727	10468
195	730	10450
196	733	10440
197	736	10426
198	739	10413
199	742	10400
200	745	10386
201	748	10369
202	751	10352
203	752	10319
204	756	10310
205	759	10299
206	762	10293
207	765	10276
208	768	10267
209	772	10257
210	775	10250
211	778	10239
212	781	10229
213	784	10214
214	787	10205
215	790	10194
216	794	10185
217	797	10174
218	800	10166
219	803	10159
220	807	10147
221	810	10136
222	813	10124
223	815	10110
224	818	10096
225	821	10081
226	824	10071
227	827	10060
228	830	10046
229	832	10031
230	836	10021
231	838	10010
232	842	10002
233	845	9999
234	848	9987
235	851	9974
236	854	9965
237	857	9950
238	860	9940
239	863	9933
240	866	9923
241	869	9912
242	872	9900
243	875	9891
244	879	9889
245	882	9878
246	885	9871
247	888	9863
248	892	9857
249	895	9847
250	898	9844
251	902	9840
252	905	9831
253	908	9826
254	911	9813
255	914	9801
256	917	9789
257	920	9784
258	923	9773
259	926	9760
260	928	9748
261	931	9733
262	934	9721
263	936	9709
264	939	9699
265	942	9687
266	945	9674
267	948	9665
268	951	9655
269	954	9646
270	957	9637
271	960	9630
272	963	9621
273	966	9612
274	969	9603
275	972	9593
276	975	9589
277	978	9582
278	981	9572
279	984	9559
280	986	9550
281	990	9542
282	992	9530
283	996	9527
284	999	9519
285	1001	9507
286	1004	9495
287	1007	9483
288	1009	9474
289	1012	9463
290	1015	9453
291	1018	9443
292	1021	9435
293	1024	9427
294	1027	9418
295	1030	9413
296	1034	9416
297	1042	9450
298	1045	9442
299	1049	9443
300	1059	9499
301	1069	9557
302	1087	9679
303	1092	9689
304	1096	9689
305	1100	9685
306	1103	9681
307	1107	9676
308	1110	9670
309	1113	9666
310	1116	9656
311	1120	9649
312	1123	9644
313	1126	9636
314	1130	9632
315	1132	9622
316	1136	9616
317	1139	9607
318	1142	9598
319	1144	9587
320	1147	9578
321	1150	9568
322	1153	9558
323	1156	9551
324	1159	9543
325	1162	9535
326	1165	9525
327	1168	9516
328	1171	9507
329	1174	9504
330	1177	9497
331	1180	9488
332	1183	9479
333	1186	9472
334	1190	9468
335	1193	9463
336	1196	9454
337	1200	9456
338	1203	9447
339	1206	9438
340	1209	9430
341	1212	9421
342	1215	9413
343	1218	9408
344	1221	9401
345	1225	9397
346	1228	9391
347	1231	9381
348	1234	9374
349	1237	9367
350	1240	9358
351	1242	9349
352	1246	9344
353	1249	9339
354	1252	9335
355	1255	9327
356	1258	9318
357	1261	9311
358	1264	9304
359	1268	9305
360	1272	9301
361	1275	9294
362	1278	9285
363	1281	9277
364	1284	9270
365	1287	9265
366	1290	9258
367	1293	9249
368	1296	9241
369	1299	9234
370	1302	9227
371	1305	9221
372	1308	9212
373	1310	9204
374	1314	9198
375	1317	9191
376	1320	9184
377	1323	9178
378	1325	9168
379	1328	9160
380	1332	9156
381	1335	9150
382	1338	9143
383	1341	9136
384	1344	9130
385	1347	9125
386	1350	9118
387	1353	9110
388	1356	9106
389	1359	9099
390	1362	9089
391	1365	9083
392	1368	9076
393	1371	9069
394	1374	9063
395	1377	9054
396	1380	9050
397	1383	9046
398	1386	9040
399	1390	9036
400	1393	9030
401	1396	9024
402	1399	9019
403	1402	9013
404	1405	9006
405	1409	9002
406	1412	8997
407	1415	8990
408	1417	8982
409	1420	8975
410	1423	8967
411	1426	8959
412	1429	8953
413	1432	8946
414	1435	8939
415	1438	8933
416	1441	8927
417	1444	8924
418	1447	8917
419	1450	8909
420	1453	8901
421	1455	8893
422	1458	8886
423	1461	8882
424	1464	8874
425	1467	8866
426	1470	8861
427	1473	8854
428	1476	8847
429	1479	8844
430	1482	8838
431	1486	8834
432	1489	8832
433	1492	8824
434	1495	8818
435	1498	8813
436	1502	8809
437	1505	8804
438	1508	8798
439	1511	8792
440	1514	8786
441	1516	8778
442	1519	8769
443	1522	8763
444	1525	8759
445	1528	8754
446	1531	8749
447	1535	8744
448	1537	8737
449	1540	8729
450	1543	8724
451	1546	8717
452	1549	8713
453	1552	8708
454	1555	8701
455	1558	8697
456	1561	8690
457	1564	8685
458	1567	8676
459	1570	8672
460	1573	8665
461	1576	8659
462	1579	8652
463	1581	8645
464	1584	8639
465	1587	8634
466	1591	8630
467	1594	8624
468	1597	8618
469	1600	8613
470	1602	8606
471	1605	8601
472	1609	8596
473	1611	8589
474	1614	8581
475	1617	8577
476	1620	8572
477	1623	8566
478	1626	8559
479	1629	8554
480	1632	8547
481	1635	8542
482	1638	8535
483	1640	8530
484	1643	8524
485	1647	8520
486	1650	8514
487	1652	8507
488	1656	8504
489	1659	8500
490	1662	8492
491	1664	8486
492	1667	8480
493	1670	8473
494	1673	8469
495	1676	8463
496	1679	8457
497	1681	8450
498	1685	8446
499	1688	8442
500	1691	8437
501	1694	8430
502	1697	8426
503	1700	8422
504	1704	8420
505	1707	8417
506	1710	8412
507	1713	8406
508	1716	8399
509	1719	8393
510	1722	8389
511	1725	8383
512	1728	8378
513	1731	8372
514	1733	8365
515	1736	8359
516	1739	8354
517	1742	8349
518	1745	8343
519	1748	8337
520	1751	8332
521	1754	8326
522	1757	8321
523	1760	8316
524	1762	8310
525	1765	8304
526	1768	8300
527	1772	8296
528	1774	8290
529	1777	8285
530	1780	8279
531	1783	8275
532	1787	8272
533	1790	8269
534	1793	8263
535	1796	8258
536	1799	8253
537	1802	8247
538	1805	8243
539	1808	8237
540	1811	8232
541	1814	8227
542	1817	8222
543	1820	8217
544	1823	8212
545	1825	8206
546	1828	8201
547	1831	8195
548	1835	8192
549	1838	8189
550	1841	8184
551	1844	8178
552	1847	8174
553	1850	8171
554	1853	8167
555	1858	8167
556	1861	8163
557	1864	8160
558	1867	8156
559	1871	8153
560	1874	8148
561	1877	8142
562	1879	8136
563	1882	8132
564	1886	8129
565	1889	8123
566	1892	8120
567	1895	8115
568	1898	8110
569	1901	8106
570	1904	8101
571	1907	8095
572	1910	8092
573	1915	8097
574	1919	8095
575	1923	8093
576	1926	8091
577	1929	8086
578	1932	8080
579	1935	8076
580	1938	8071
581	1941	8064
582	1945	8065
583	1948	8060
584	1951	8056
585	1954	8051
586	1957	8045
587	1960	8041
588	1963	8036
589	1966	8033
590	1969	8028
591	1972	8024
592	1975	8020
593	1978	8013
594	1981	8007
595	1984	8005
596	1988	8002
597	1990	7996
598	1994	7993
599	1996	7987
600	2000	7985
601	2003	7980
602	2006	7975
603	2009	7971
604	2013	7970
605	2016	7966
606	2019	7960
607	2022	7957
608	2026	7954
609	2028	7949
610	2032	7945
611	2035	7940
612	2037	7935
613	2041	7931
614	2043	7926
615	2047	7922
616	2050	7917
617	2052	7912
618	2055	7908
619	2059	7906
620	2062	7902
621	2066	7899
622	2069	7894
623	2072	7890
624	2075	7885
625	2078	7880
626	2081	7876
627	2084	7872
628	2087	7866
629	2089	7861
630	2092	7857
631	2096	7853
632	2099	7849
633	2102	7844
634	2104	7839
635	2108	7836
636	2110	7830
637	2114	7827
638	2117	7822
639	2120	7817
640	2122	7812
641	2125	7807
642	2128	7803
643	2131	7798
644	2134	7794
645	2137	7790
646	2141	7787
647	2144	7783
648	2147	7778
649	2150	7774
650	2153	7771
651	2156	7767
652	2160	7763
653	2163	7759
654	2166	7754
655	2169	7750
656	2172	7747
657	2175	7741
658	2178	7737
659	2181	7733
660	2184	7730
661	2187	7726
662	2190	7722
663	2194	7721
664	2197	7716
665	2200	7711
666	2203	7706
667	2206	7701
668	2209	7697
669	2211	7692
670	2214	7686
671	2217	7681
672	2220	7677
673	2223	7672
674	2226	7667
675	2229	7663
676	2231	7658
677	2234	7654
678	2237	7649
679	2240	7643
680	2243	7641
681	2246	7636
682	2249	7630
683	2251	7625
684	2254	7620
685	2257	7615
686	2260	7611
687	2263	7607
688	2266	7603
689	2269	7598
690	2272	7593
691	2275	7589
692	2278	7583
693	2281	7579
694	2284	7575
695	2287	7571
696	2290	7567
697	2293	7564
698	2297	7561
699	2300	7558
700	2303	7553
701	2306	7550
702	2309	7546
703	2312	7542
704	2315	7537
705	2318	7534
706	2321	7529
707	2324	7525
708	2327	7520
709	2330	7517
710	2333	7513
711	2336	7509
712	2339	7504
713	2342	7500
714	2346	7497
715	2349	7494
716	2352	7490
717	2355	7486
718	2358	7483
719	2361	7479
720	2365	7476
721	2368	7473
722	2371	7468
723	2375	7467
724	2378	7463
725	2381	7459
726	2384	7455
727	2387	7451
728	2391	7449
729	2394	7445
730	2397	7440
731	2399	7435
732	2402	7431
733	2405	7426
734	2408	7422
735	2411	7417
736	2414	7413
737	2417	7408
738	2420	7404
739	2423	7400
740	2425	7395
741	2428	7390
742	2431	7385
743	2434	7382
744	2437	7377
745	2440	7373
746	2443	7369
747	2447	7367
748	2450	7364
749	2453	7361
750	2456	7357
751	2459	7353
752	2462	7349
753	2465	7345
754	2468	7340
755	2471	7335
756	2474	7331
757	2477	7327
758	2480	7324
759	2483	7319
760	2486	7315
761	2489	7311
762	2493	7309
763	2496	7305
764	2499	7301
765	2502	7297
766	2505	7293
767	2508	7289
768	2510	7283
769	2513	7279
770	2516	7275
771	2519	7271
772	2523	7269
773	2526	7264
774	2528	7260
775	2532	7257
776	2535	7254
777	2538	7249
778	2540	7244
779	2543	7240
780	2546	7235
781	2549	7231
782	2552	7227
783	2555	7223
784	2558	7219
785	2561	7215
786	2564	7211
787	2567	7206
788	2570	7202
789	2573	7198
790	2576	7194
791	2579	7191
792	2582	7187
793	2585	7183
794	2588	7179
795	2591	7174
796	2594	7170
797	2596	7166
798	2600	7162
799	2603	7159
800	2606	7154
801	2609	7151
802	2611	7146
803	2614	7141
804	2617	7137
805	2620	7133
806	2623	7130
807	2627	7128
808	2630	7123
809	2633	7119
810	2636	7115
811	2638	7110
812	2641	7106
813	2644	7102
814	2647	7098
815	2651	7096
816	2654	7093
817	2657	7088
818	2660	7084
819	2663	7080
820	2666	7076
821	2669	7072
822	2672	7068
823	2675	7065
824	2678	7061
825	2681	7058
826	2685	7055
827	2688	7053
828	2692	7051
829	2695	7047
830	2698	7044
831	2702	7041
